Name,Category,Price,Description,Image_Link
White Shirt,Shirt,499.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,502.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,506.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,509.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,513.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,516.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,520.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,523.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,527.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,530.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,534.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,537.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,541.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,544.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,548.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,551.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,555.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,558.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,562.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,565.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,569.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,572.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,576.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,579.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,583.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,586.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,590.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,593.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,597.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,600.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,604.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,607.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,611.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,614.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
